_id,data.contributors,data.coordinates,data.created_at,data.entities,data.extended_entities,data.favorite_count,data.favorited,data.geo,data.id,data.id_str,data.in_reply_to_screen_name,data.in_reply_to_status_id,data.in_reply_to_status_id_str,data.in_reply_to_user_id,data.in_reply_to_user_id_str,data.is_quote_status,data.lang,data.metadata,data.place,data.possibly_sensitive,data.quoted_status,data.quoted_status_id,data.quoted_status_id_str,data.retweet_count,data.retweeted,data.source,data.text,data.truncated,data.user.id,data.user.name,data.user.screen_name,data.user.location
638625d1073ea59a7af54da7,null,null,Tue Nov 29 15:31:21 +0000 2022,,,0,false,null,1597614196258394117,1597614196258394117,null,null,null,null,null,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I take 0 action without strategy,false,2904332428,Massoud,mxssoud,"Ottawa, Ontario"
638625d2073ea59a7af54da8,null,null,Tue Nov 29 15:31:20 +0000 2022,,,0,false,null,1597614192370290690,1597614192370290690,GuidoDisalle,1597574621137891331,1597574621137891331,1240280727331225603,1240280727331225603,false,en,,null,,,,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@GuidoDisalle gm Guido!,false,1369709714368561152,aaronrferguson.eth (he/him) 🇺🇦 | Слава Україні!,aaronrferguson,"Ottawa, ON Canada"
638625d2073ea59a7af54da9,null,null,Tue Nov 29 15:31:18 +0000 2022,,,0,false,null,1597614185839558659,1597614185839558659,SleuthieGoosie,1597280416490090496,1597280416490090496,1295358974070579201,1295358974070579201,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@SleuthieGoosie Absolutely agree with you. Not normal.,false,299329872,Middy T,middyt,"Ottawa, Ontario, Canada"
638625d2073ea59a7af54daa,null,null,Tue Nov 29 15:31:16 +0000 2022,,,0,false,null,1597614175693553666,1597614175693553666,ThisIsKyleR,1597422523528130560,1597422523528130560,1467931973616386052,1467931973616386052,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ThisIsKyleR @elonmusk Yes, life must be soooooo hard for you. Being able to murder whoever you want isn’t enough,… https://t.co/Mzp3Li38s0",true,27987194,GeeGee23,GeeGee23,Ottawa
638625d2073ea59a7af54dab,null,null,Tue Nov 29 15:31:13 +0000 2022,,,0,false,null,1597614164780126208,1597614164780126208,funstonpaleo,1597322056215191552,1597322056215191552,1050036166706098178,1050036166706098178,false,en,,null,false,,,,0,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@funstonpaleo So looking forward to seeing the results that come out of this!! https://t.co/o9Esvh5PXw,false,725085496116912129,Michelle Campbell Mekarski PhD,MichelleCbell,"Ottawa, Ontario"
638625d2073ea59a7af54dac,null,null,Tue Nov 29 15:31:07 +0000 2022,,,0,false,null,1597614138779377665,1597614138779377665,HugoFaz,1597541576896843776,1597541576896843776,15473301,15473301,false,tl,,null,,,,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@HugoFaz gm Hugo!,false,1369709714368561152,aaronrferguson.eth (he/him) 🇺🇦 | Слава Україні!,aaronrferguson,"Ottawa, ON Canada"
638625d2073ea59a7af54dad,null,null,Tue Nov 29 15:31:06 +0000 2022,,,0,false,null,1597614134665056256,1597614134665056256,CanoeKayakCAN,1597614129501831171,1597614129501831171,143151472,143151472,false,fr,,null,false,,,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","💥Donner en GRAND à votre communauté aujourd'hui💥
Nous lançons 🛶Bateaux pour Tous🛶 - une campagne pour s'assurer que… https://t.co/gkZVQKP99X",true,143151472,Canoe Kayak Canada,CanoeKayakCAN,"Ottawa, ON"
638625d2073ea59a7af54dae,null,null,Tue Nov 29 15:31:05 +0000 2022,,,0,false,null,1597614129501831171,1597614129501831171,null,null,null,null,null,false,en,,null,false,,,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","💥Give back to your community in a BIG way today!💥

We’re launching 🛶Boats for All🛶 – a campaign to ensure our races… https://t.co/Sdr7UnX1fC",true,143151472,Canoe Kayak Canada,CanoeKayakCAN,"Ottawa, ON"
638625d2073ea59a7af54daf,null,null,Tue Nov 29 15:31:04 +0000 2022,,,0,false,null,1597614127354347520,1597614127354347520,null,null,null,null,null,false,en,,null,false,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",y’all wouldn’t get it https://t.co/9rzxQRwdO6,false,1223409585706414080,stunna 🇨🇷,LeGreenCard,"Ottawa, Ontario"
638625d2073ea59a7af54db0,null,null,Tue Nov 29 15:31:03 +0000 2022,,,0,false,null,1597614120173699072,1597614120173699072,WashedSummon,1597613359515721729,1597613359515721729,1562168848693993474,1562168848693993474,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@WashedSummon OH MY GOODNESS WHAT A BUILD IM ABOUT TO BE FRICKING T’D,false,1176555352902590465,ᴴʸᵖᵉʳ Xmanbill,Xmanbill,"Ottawa, Ontario"
638625d2073ea59a7af54db1,null,null,Tue Nov 29 15:31:02 +0000 2022,,,0,false,null,1597614119397773313,1597614119397773313,_BeFootball,1597498596839915520,1597498596839915520,854342210,854342210,false,fr,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@_BeFootball Il va rien faire du tout,false,1127730780707463168,zakataka_tawotawo 🇨🇩🇨🇦,BWilanga,"Ottawa, Ontario"
638625d2073ea59a7af54db2,null,null,Tue Nov 29 15:31:00 +0000 2022,,,0,false,null,1597614110660870145,1597614110660870145,null,null,null,null,null,false,en,,null,false,,,,0,false,"<a href=""https://www.loomly.com/"" rel=""nofollow"">Loomly</a>","“The problem is that #BC isn’t planning to generate enough electricity to meet its #2030ClimateTargets,” before eve… https://t.co/Ri7S1j7xfW",true,2587748954,The Energy Mix,TheEnergyMix,Ottawa
638625d2073ea59a7af54db3,null,null,Tue Nov 29 15:30:58 +0000 2022,,,0,false,null,1597614098790891522,1597614098790891522,null,null,null,null,null,false,en,,null,false,,,,0,false,"<a href=""https://trueanthem.com/"" rel=""nofollow"">True Anthem</a>",The Ottawa Police Services Board abruptly ended its meeting Monday as public delegates held a protest demanding act… https://t.co/WtF4D8qxiD,true,21212604,CTV Ottawa,ctvottawa,"Ottawa, Ontario"
638625d2073ea59a7af54db4,null,null,Tue Nov 29 15:30:54 +0000 2022,,,0,false,null,1597614082253033472,1597614082253033472,alexandrepratt,1597599736319848449,1597599736319848449,88175912,88175912,false,fr,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@alexandrepratt Ton per diem ne te fournira pas 2000 calories par jour 😉,false,121887615,SYL20 🧭🇺🇦🚗🔋⚡️,syl20boi20,"Gatineau, Québec"
638625d2073ea59a7af54db5,null,null,Tue Nov 29 15:30:53 +0000 2022,,,1,false,null,1597614078494928897,1597614078494928897,GraemeNichols,1597595777764835337,1597595777764835337,58553055,58553055,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@GraemeNichols I've been of the opinion that the team must know at least something but trading an asset under these… https://t.co/fB2PuvLi2J",true,1299184539022098439,Uncle Shickadance ✈️ 🇨🇦 613,That80sG,"Ottawa, Ontario"
638625d2073ea59a7af54db6,null,null,Tue Nov 29 15:30:50 +0000 2022,,,0,false,null,1597614067392610304,1597614067392610304,_benui,1597567944271499264,1597567944271499264,1156953192015360000,1156953192015360000,false,en,,null,,,,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@_benui thanks, all done in a custom game engine",false,322715600,Owen Deery,owendeery,"Ottawa, ON"
638625d2073ea59a7af54db7,null,null,Tue Nov 29 15:30:46 +0000 2022,,,0,false,null,1597614051412303872,1597614051412303872,118Thumper118,1597600974679351296,1597600974679351296,765400491194916864,765400491194916864,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@118Thumper118 @ElseSlayer What's that got to do with the price of butter? 😂

But seriously, yes, yes and yes, except for Scrappy Doo!",false,24170858,Dave Smalldon 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇨🇦 (AlienWooshie),davesmalldon,"Ottawa, Canada"
638625d2073ea59a7af54db8,null,null,Tue Nov 29 15:30:42 +0000 2022,,,0,false,null,1597614034089836545,1597614034089836545,NatashaZimmers,1597391185600913408,1597391185600913408,1221590123973730304,1221590123973730304,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@NatashaZimmers As a Canadian student and teacher I know what it is. My daughter denies having heard it called that… https://t.co/oUxMmYpv3t,true,71663806,Sarah Jane,northofBarrie,"Ottawa, Ontario"
638625d2073ea59a7af54db9,null,null,Tue Nov 29 15:30:41 +0000 2022,,,0,false,null,1597614028918259713,1597614028918259713,WitchOats,1597364207640809472,1597364207640809472,3368385915,3368385915,false,en,,null,false,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Pain is starting to subside. https://t.co/B85iuW36lQ,false,3368385915,Lindsay 🎮 Harvestella,WitchOats,"Ottawa, Ontario"
638625d2073ea59a7af54dba,null,null,Tue Nov 29 15:30:35 +0000 2022,,,0,false,null,1597614005430136833,1597614005430136833,JenStewartOtt,null,null,1182683703941718016,1182683703941718016,true,en,,null,false,,1597578604862472192,1597578604862472192,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@JenStewartOtt  will you help me with a RT? 

https://t.co/rpv5ikYyWa https://t.co/iy7e0tnm7d",false,1222907374702415872,Ava-OTO,Onlytakesone20,"Ottawa, Ontario"
638625d2073ea59a7af54dbb,null,null,Tue Nov 29 15:30:35 +0000 2022,,,0,false,null,1597614004280909824,1597614004280909824,TheJFreakinC,1597613635328970757,1597613635328970757,1549967923753754625,1549967923753754625,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@TheJFreakinC Traumatic head injuries are mandatory to be elected to the Republican Party.,false,1643438737,Megs,the_meghaning,Ottawa ON
638625d2073ea59a7af54dbc,null,null,Tue Nov 29 15:30:34 +0000 2022,,,0,false,null,1597614001713725443,1597614001713725443,null,null,null,null,null,false,en,,null,false,,,,0,false,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Seeds Canada Members are about to hear all about what we have been busy working on from our senior management team… https://t.co/dAy15557wS,true,425574454,Seeds Canada,Seeds_Canada,"Ottawa, Ontario"
638625d2073ea59a7af54dbd,null,null,Tue Nov 29 15:30:34 +0000 2022,,,0,false,null,1597614000623489024,1597614000623489024,null,null,null,null,null,false,en,,null,false,,,,0,false,"<a href=""http://www.twittascope.com"" rel=""nofollow"">Twittascope</a>",Being part of a community that shares your views on important ... More for Aries https://t.co/bhzrBI9zZh,false,202369531,Nancy Nguyen,_NancyNguyen,Ottawa
638625d2073ea59a7af54dbe,null,null,Tue Nov 29 15:30:33 +0000 2022,,,0,false,null,1597613997859143680,1597613997859143680,DPatel_PharmD,1592255175414411265,1592255175414411265,422805636,422805636,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@DPatel_PharmD And yet his common sense trumps your opponents so-called compassion, why don't you argue the issues… https://t.co/xhg1Bgw4Jd",true,1471611320801845248,opsguy111,opsguy111,"Ottawa, Ontario"
638625d2073ea59a7af54dbf,null,null,Tue Nov 29 15:30:33 +0000 2022,,,1,false,null,1597613993832628226,1597613993832628226,Syl_St_Laurent,1597613720624328706,1597613720624328706,24190618,24190618,false,fr,,null,,,,,1,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CORRECTION! Watson est là. Je ne l'avais pas vu.",false,24190618,Sylvain St-Laurent,Syl_St_Laurent,"Ottawa, Ontario"
638625d2073ea59a7af54dc0,null,null,Tue Nov 29 15:30:32 +0000 2022,,,0,false,null,1597613993220349953,1597613993220349953,null,null,null,null,null,false,fr,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pratique des Sénateurs ce matin, Anton Forsberg est présent.",false,89265112,Marc Brassard,mbrassard,"Ottawa, ON"
638625d2073ea59a7af54dc1,null,null,Tue Nov 29 15:30:32 +0000 2022,,,0,false,null,1597613992830271491,1597613992830271491,null,null,null,null,null,false,en,,null,false,,,,0,false,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",New collaboration between CAGBC &amp; @UofT to research solutions for embodied carbon reductions from building material… https://t.co/LkMROdkNiv,true,179957954,CAGBC,CAGBC,Ottawa
638625d2073ea59a7af54dc2,null,null,Tue Nov 29 15:30:31 +0000 2022,,,0,false,null,1597613988267032576,1597613988267032576,jbru11,1597451514918088704,1597451514918088704,240081757,240081757,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@jbru11 @MikeDrucker @GeraldLeroy6 He left after the fall of apartheid. So yes, to avoid military service, but not… https://t.co/9UwFgNirNF",true,129870013,average rando,hfjohnsen,"Ottawa, Ontario"
638625d2073ea59a7af54dc3,null,null,Tue Nov 29 15:30:28 +0000 2022,,,0,false,null,1597613974958362625,1597613974958362625,null,null,null,null,null,false,en,,null,false,,,,0,false,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Insurance can get complicated. Our latest blog post explains the basics. If you have questions, we can help.… https://t.co/0kyHcdT1Wj",true,480524580,CrossPoint Financial,CrossPointFinan,"Ottawa, Ontario Canada"
638625d2073ea59a7af54dc4,null,null,Tue Nov 29 15:30:28 +0000 2022,,,0,false,null,1597613974136455168,1597613974136455168,null,null,null,null,null,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Vote for the #LionsCelly for #BudLightCelly of the Week!,false,1569868712580358145,Thomas White,DetriotLions32,"Ottawa, Ontario"
638625d2073ea59a7af54dc5,null,null,Tue Nov 29 15:30:27 +0000 2022,,,0,false,null,1597613968851611648,1597613968851611648,null,null,null,null,null,false,en,,null,false,,,,0,false,"<a href=""http://www.twittascope.com"" rel=""nofollow"">Twittascope</a>",Balancing recent family and career commitments could be a chal... More for Virgo https://t.co/GCmNxAND1W,false,18690262,Brady,bradyjprimes,"Ottawa, Ontario"
638625d2073ea59a7af54dc6,null,null,Tue Nov 29 15:30:26 +0000 2022,,,0,false,null,1597613968260202496,1597613968260202496,aureliusraines2,1597400754645798912,1597400754645798912,833497012930752512,833497012930752512,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@aureliusraines2 May tomorrow be so boring it almost brings you to tears,false,834778368683937792,Stephen Coghlan 🇨🇦,WordsBySC,"Ottawa, Canada"
638625d2073ea59a7af54dc7,null,null,Tue Nov 29 15:30:26 +0000 2022,,,0,false,null,1597613967677206529,1597613967677206529,PaulChampLaw,1597608498011189253,1597608498011189253,838912397066846208,838912397066846208,false,en,,null,,,,,0,false,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@PaulChampLaw You know I agree with this. They could probably hold an entirely separate inquiry on this point thoug… https://t.co/OdhJUT8hAr,true,3347822225,Alyssa Tomkins,alyssa_tomkins,"Ottawa, Ontario"
638625d2073ea59a7af54dc8,null,null,Tue Nov 29 15:30:21 +0000 2022,,,0,false,null,1597613947410321413,1597613947410321413,null,null,null,null,null,false,en,,null,false,,,,0,false,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Worth reading. https://t.co/AkKkunbXfr via @nationalpost,false,716992774436990977,Andrew Hall,AndrewHallCan,"Ottawa, Canada"
